,post_id,text,annotatorid1,target1,label1,annotatorid2,target2,label2,annotatorid3,target3,label3,rationales,final_label,final_target_category
10301,1078150006979350528_twitter,"['i', '’', 'll', 'turn', 'a', 'dyke', 'into', 'a', 'bike']",239,['None'],normal,199,"['Homosexual', 'Women']",offensive,235,['Homosexual'],offensive,"[[0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0]]",offensive,['Homosexual']
10308,10783839_gab,"['ideally', 'yes', 'when', 'push', 'comes', 'to', 'shove', 'id', 'rather', 'live', 'in', 'a', 'white', 'run', 'city', 'country', 'we', 'already', 'know', 'what', 'a', 'planet', 'of', 'apes', 'scenario', 'looks', 'like', 'baltimore', 'chicago', 'philly', 'detroit', 'and', 'every', 'suburban', 'mall', 'failing', 'to', 'shoo', 'flies']",200,['African'],hatespeech,228,['None'],offensive,223,['African'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['African']
10315,1078614497990983681_twitter,"['<user>', 'so', 'dickie', 'durbin', 'cares', 'more', 'for', 'illegal', 'aliens', 'then', 'about', 'american', 'children', 'living', 'on', 'the', 'streets', 'typical', 'libtard']",209,['Refugee'],offensive,203,['Refugee'],hatespeech,222,"['Refugee', 'Other']",offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Refugee']
10318,1078682709948620800_twitter,"['women', 'love', 'tellin', 'she', '’', 'half', 'amp', 'half', 'i', '’', 'll', 'tell', 'you', 'who', 'is', 'tho', '😂', '😭', '😂', '😭', '😂']",216,['Women'],offensive,217,['Women'],normal,223,['Women'],offensive,"[[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Women']
10325,1078868437902987265_twitter,"['<user>', 'your', 'the', 'one', 'left', 'faggot', 'the', 'battle', 'been', 'over', 'good', 'night']",203,['Homosexual'],offensive,206,['Homosexual'],offensive,235,['Homosexual'],hatespeech,"[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]]",offensive,['Homosexual']
10332,1079092016158593024_twitter,"['arsenal', 'is', 'a', 'fucking', 'small', 'club', 'with', 'a', 'lot', 'of', 'noise', 'makers', 'called', 'fans', 'livars']",209,['Other'],offensive,235,['None'],offensive,203,['None'],normal,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,
10334,1079097212024410118_twitter,"['when', 'people', 'have', 'never', 'had', 'one', 'real', 'conversation', 'with', 'you', 'but', 'yet', 'find', '<number>', 'things', 'to', 'hate', 'you', 'about', '🙄']",203,['None'],normal,199,['None'],normal,209,"['None', 'Other']",normal,[],normal,
10335,1079100239183675392_twitter,"['instead', 'of', '“', 'til', 'death', 'do', 'us', 'apart', '“', 'in', 'islam', 'we', 'have', '“', 'til', 'jannah', 'unites', 'us', 'together', '“', 'and', 'its', 'the', 'cutest', 'thing', 'ever']",212,['Islam'],offensive,209,['Islam'],normal,235,['None'],normal,[],normal,['Islam']
10353,1079507754719559680_twitter,"['<user>', 'where', 'in', 'new', 'york', 'was', 'this', 'taken', 'white', 'supremist', 'nazi', 'radical', 'evangelical', 'bigoted', 'pos', 'road', 'rage', 'waiting', 'to', 'happen']",216,['Caucasian'],hatespeech,217,"['Caucasian', 'Men', 'Women']",offensive,223,['None'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Caucasian']
10361,1079795475560218626_twitter,"['<user>', '<user>', 'treat', 'the', 'immigrants', 'as', 'drug', 'traffickers', 'they', 'will', 'soon', 'have', 'a', 'change', 'of', 'mind', '👍']",209,['Refugee'],offensive,203,['Refugee'],offensive,222,['Refugee'],offensive,"[[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Refugee']
10373,1080140826175594496_twitter,"['<user>', 'button', 'it', 'then', '😂', '😂', '😂', '😂', '😂', 'your', 'boy', 'is', 'a', 'fucking', 'retard', 'jose', 'there', 'a', 'name', 'for', 'you', 'lad']",247,['None'],offensive,199,['None'],offensive,235,['None'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]]",offensive,
10381,1080448696486121472_twitter,"['<user>', 'i', 'am', 'delighted', 'peter', 'sweden', 'is', 'as', 'retarded', 'as', 'his', 'twitter', 'career', 'suggests', 'it', '’', 'all', 'very', 'quaint', 'and', 'comfortable']",235,['None'],offensive,209,['None'],normal,203,['Other'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,
10384,1080578011047571473_twitter,"['<user>', '<user>', 'how', 'can', 'a', 'refugee', 'cross', 'any', 'border', 'illegally', 'asking', 'for', 'people', 'who', 'need', 'help']",222,['Refugee'],normal,206,['Refugee'],offensive,203,['Refugee'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]]",offensive,['Refugee']
10399,1081356390013095936_twitter,"['<user>', 'this', 'should', 'be', 'fun', 'post', 'colonial', 'immigrant', 'european', 'america', 'receiving', 'their', 'own', 'medicine']",216,['Refugee'],normal,209,['Caucasian'],normal,203,['Caucasian'],normal,[],normal,['Caucasian']
10417,1082098223949537280_twitter,"['<user>', 'you', '’', 're', 'a', 'racist', 'pos', 'trying', 'to', 'spread', 'hate', 'violence', 'and', 'racism', 'what', 'the', 'heck', 'is', 'wrong', 'with', 'you']",209,['Other'],normal,203,['None'],normal,222,['None'],normal,[],normal,
10420,1082144856229756928_twitter,"['<user>', 'hux', 'is', 'literally', 'gay', 'and', 'kylo', 'is', 'an', 'ally']",222,['Homosexual'],offensive,206,['Homosexual'],offensive,203,['Homosexual'],normal,"[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",offensive,['Homosexual']
10421,1082260457396809728_twitter,"['<user>', '<user>', 'please', 'look', 'at', 'refugees', 'iraqi', 'in', 'turkey', 'they', 'want', 'home', 'standwithiraqirefugees']",203,['Refugee'],normal,209,['Refugee'],normal,235,['None'],normal,[],normal,['Refugee']
10431,10824649_gab,"['sucking', 'all', 'the', 'msm', 'dick', 'eh', 'curry', 'nigger', 'race', 'traitor', 'tell', 'em', 'how', 'you', 'are', 'really', 'an', 'sjw', 'who', 'sides', 'with', 'sadiq', 'khan', 'mayor', 'of', 'londonstan', 'and', 'believe', 'curries', 'and', 'sand', 'niggers', 'should', 'steal', 'whyte', 'wymn', 'and', 'destroy', 'the', 'white', 'race', 'gabfam', 'speakfreely', 'tell', 'em', 'how', 'you', 'censor', 'downvotes', 'profitmonger']",206,"['African', 'Arab', 'Hindu', 'Islam', 'Jewish', 'Refugee']",hatespeech,203,['Islam'],hatespeech,213,"['African', 'Arab']",hatespeech,"[[1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,"['Arab', 'African', 'Islam']"
10441,1082783411977150464_twitter,"['mfs', 'really', 'be', 'cheatin', 'on', 'u', 'w', 'bitches', 'who', 'look', 'up', 'to', 'u', 'amp', 'dat', 'copy', 'errything', 'u', 'do', 'post']",211,['None'],normal,199,['None'],normal,247,['Women'],offensive,[],normal,
10445,1082834219456516096_twitter,"['<user>', 'rob', 'my', 'man', 'i', '’', 'm', 'sorry', 'but', 'your', 'a', 'retarded', 'pedo']",203,['Other'],offensive,199,['None'],offensive,235,['None'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]]",offensive,
10482,1084227944728408064_twitter,"['<user>', '<user>', 'what', 'you', 'know', 'you', 'crisp', 'selling', 'prick', 'house', 'the', 'refugees', 'you', 'keep', 'on', 'about', 'you', 'potato', 'shagging', 'cunt']",203,['Refugee'],hatespeech,222,"['Women', 'Refugee']",offensive,235,['None'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Refugee']
10483,10842673_gab,"['all', 'people', 'deserve', 'to', 'believe', 'in', 'their', 'heritage', 'the', 'line', 'is', 'crossed', 'with', 'violence', 'and', 'destruction', 'for', 'the', 'only', 'moral', 'reason', 'for', 'govt', 'to', 'exist', 'is', 'the', 'protection', 'of', 'rights', 'property', 'and', 'person', 'no', 'more', 'demonization']",223,['None'],normal,231,['None'],normal,200,['None'],normal,[],normal,
10512,1086417563444232194_twitter,"['<user>', 'let', 'be', 'honest', 'multiculturalism', 'is', 'just', 'a', 'euphemism', 'for', 'hostile', 'takeover', 'by', 'jews', 'and', 'non', 'whites']",233,"['African', 'Arab', 'Asian', 'Hispanic', 'Jewish']",offensive,235,['Jewish'],hatespeech,203,['Other'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",hatespeech,['Jewish']
10527,1086804965186830338_twitter,"['“', 'i', 'don', '’', 't', 'have', 'to', 'respect', 'women', 'i', '’', 'm', 'gay', '”', 'kevin']",209,"['Homosexual', 'Women']",offensive,203,"['Homosexual', 'Women']",offensive,223,['Women'],hatespeech,"[[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0], [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]]",offensive,"['Women', 'Homosexual']"
10533,1087056935671586817_twitter,"['<user>', 'the', 'person', 'who', 'gave', 'me', 'my', 'maga', 'hat', 'is', 'a', 'child', 'of', 'legal', 'mexican', 'immigrants']",199,['Hispanic'],offensive,209,['Refugee'],normal,211,['None'],normal,[],normal,
10545,1087239631165419520_twitter,"['<user>', 'it', 'a', 'refugees', 'fault', 'for', '↔', 'sucking', 'up', 'all', 'the', 'oxygen', '↔', 'thus', 'my', 'issues', 'get', 'ignored', 'or', 'minimized', '↕', 'citizens', 'before', 'regugees', '↕']",213,['Refugee'],hatespeech,202,['Refugee'],offensive,233,['Refugee'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Refugee']
10566,1087977297284608003_twitter,"['i', 'say', 'what', 'i', 'want', 'to', 'say', 'and', 'do', 'what', 'i', 'want', 'to', 'do', 'there', 'no', 'in', 'between', 'people', 'will', 'either', 'love', 'you', 'for', 'it', 'or', 'hate', 'you', 'for', 'it']",205,['None'],normal,213,['None'],normal,209,['None'],normal,[],normal,
10571,1088243265210671104_twitter,"['you', 'niggas', 'is', 'fake', 'asl', 'that', '’', 'why', 'you', 'don', '’', 't', 'see', 'none', 'round', 'me']",205,['African'],hatespeech,209,['African'],offensive,213,['African'],hatespeech,"[[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['African']
10575,10883257_gab,"['using', 'gas', 'lighting', 'propaganda', 'for', 'you', 'horrible', 'white', 'southerners', 'meant', 'nothing', 'real']",222,['Caucasian'],normal,209,['Other'],normal,201,['Caucasian'],hatespeech,[],normal,['Caucasian']
10579,10888406_gab,"['pro', 'tip', 'the', 'niggers', 'do', 'not', 'care', 'if', 'you', 'never', 'owned', 'slaves', 'granddaddy', 'fought', 'the', 'natzis', 'or', 'great', 'great', 'grandad', 'ground', 'the', 'confederacy', 'into', 'dust', 'with', 'the', 'boot', 'heel', 'of', 'the', 'proto', 'bolshevik', 'yankee', 'gubment', 'force', 'of', 'weight', 'and', 'arms', 'behind', 'it', 'they', 'hate', 'you', 'because', 'you', 'are', 'white', 'and', 'you', 'exist', 'altright']",207,['African'],offensive,224,['African'],hatespeech,221,['African'],hatespeech,"[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]]",hatespeech,['African']
10606,1089740628802584577_twitter,"['the', 'next', 'person', 'that', 'fucks', 'me', 'over', 'family', 'friend', 'whoever', 'gone', 'feel', 'me', '‼️']",209,['None'],offensive,203,['None'],offensive,235,['None'],offensive,"[[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,
10611,10899016_gab,"['unpopularopinion', 'i', 'loathe', 'the', 'alt', 'right', 'but', 'i', 'believe', 'in', 'the', '1', 'st', 'amendment', 'as', 'long', 'as', 'it', 'is', 'not', 'violence', 'or', 'incitement', 'to', 'violence', 'the', 'government', 'has', 'no', 'right', 'to', 'infringe', 'in', 'speech', 'also', 'google', 'and', 'facebook', 'i', 'am', 'moving', 'on', 'from', 'you', 'guys', 'because', 'of', 'your', 'intolerant', 'crap']",217,"['Men', 'Women']",normal,235,['None'],hatespeech,199,['None'],normal,[],normal,
10613,1089932353349140481_twitter,"['<user>', 'forreal', 'western', 'countries', 'are', 'the', 'only', 'fucking', 'places', 'where', 'immigrants', 'expect', 'shit', 'to', 'cater', 'to', 'them']",206,['Refugee'],hatespeech,199,['Refugee'],offensive,203,['Refugee'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]]",offensive,['Refugee']
10631,1090690524141576193_twitter,"['<user>', 'some', 'people', 'are', 'just', 'retarded', 'like', 'that']",223,['Other'],offensive,235,['None'],offensive,209,['Other'],offensive,"[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]",offensive,
10632,1090741502320488448_twitter,"['i', 'just', 'know', 'that', 'gays', 'with', 'airpods', 'are', 'gonna', 'cheat', 'on', 'me']",216,['Homosexual'],offensive,217,"['Homosexual', 'Men', 'Women']",offensive,223,['Homosexual'],hatespeech,"[[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Homosexual']
10635,1091006799828930560_twitter,"['glassboro', 'mcdonald', '’', 'ghetto', 'just', 'like', 'millville', 'got', 'me', 'getting', 'smart', 'with', 'people', 'early', 'in', 'the', 'morning']",216,"['African', 'Other']",offensive,209,['Other'],normal,203,['None'],offensive,"[[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,
10650,1091513903756980224_twitter,"['<user>', 'im', 'buying', 'a', 'pair', 'in', 'support', 'of', 'hoping', 'to', 'offend', 'more', 'muslims']",202,['Islam'],offensive,231,['Islam'],offensive,213,['Islam'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]]",offensive,['Islam']
10662,1092406126350647296_twitter,"['tomi', 'lahren', 'is', 'the', 'epitome', 'of', 'the', 'white', 'bitches', 'all', 'our', 'folks', 'wanted', 'us', 'to', 'avoid']",221,"['Caucasian', 'Women']",normal,204,"['Caucasian', 'Women']",offensive,207,"['Caucasian', 'Women']",offensive,"[[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]]",offensive,"['Caucasian', 'Women']"
10664,1092441251776024576_twitter,"['you', 'white', 'with', 'pink', 'nasty', 'locs', 'or', 'w', 'e', 'you', 'wanna', 'call', 'those', 'yo', 'i', 'wanna', 'kick', 'this', 'bitch']",209,['Women'],offensive,200,"['Caucasian', 'Women']",offensive,199,['None'],offensive,"[[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]]",offensive,['Women']
10681,1092772320786214912_twitter,"['<user>', '<user>', 'stupid', 'sand', 'niggers']",200,['Arab'],hatespeech,199,['African'],hatespeech,211,['Arab'],hatespeech,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1]]",hatespeech,['Arab']
10691,1093192149632454659_twitter,"['and', 'i', 'hate', 'you', '“', 'it', '’', 'a', 'class', 'in', 'here', '”', 'bitch', 'you', 'see', 'students', 'coming', 'in', 'that', '’', 'not', 'in', 'yo', 'class', 'right']",239,['None'],offensive,199,['Women'],offensive,235,['None'],offensive,"[[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,
10692,1093220213758312448_twitter,"['<user>', 'i', 'do', 'not', 'knock', 'doors', 'but', 'it', 'only', 'because', 'i', 'am', 'a', 'bad', 'bitch', '😂', '😂', '😂']",221,['Women'],normal,207,['None'],normal,204,['Women'],normal,[],normal,['Women']
10700,1093632039864160257_twitter,"['<user>', 'he', '’', 'delusional', 'trying', 'to', 'say', 'that', 'jews', 'built', 'the', 'pyramids', 'what', 'a', 'joke']",235,['Jewish'],offensive,222,['Jewish'],offensive,209,['Jewish'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]]",offensive,['Jewish']
10728,1094842390177894400_twitter,"['every', 'job', 'in', 'the', 'world', 'exists', 'solely', 'to', 'make', 'a', 'white', 'woman', 'life', 'better']",203,"['Caucasian', 'Women']",normal,235,"['Caucasian', 'Women']",offensive,233,"['Caucasian', 'Women']",offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]]",offensive,"['Caucasian', 'Women']"
10730,1094921710032338944_twitter,"['radio', 'news', 'report', 'this', 'morning', 'referenced', '“', 'law', 'abiding', 'illegal', 'immigrants', '”', 'unbelievable', 'you', 'can', '’', 't', 'make', 'this', 'stuff', 'up', 'journalism', 'is', 'dead']",216,['Refugee'],normal,209,['Refugee'],normal,203,['Refugee'],offensive,[],normal,['Refugee']
10736,1095096665667600384_twitter,"['<user>', 'right', 'here', 'bro', 'found', 'jesus', 'whos', 'not', 'just', 'a', 'prophet', 'howz', 'life', 'u', 'an', 'ex', 'muslim', 'too', 'from', 'yeg']",203,"['Christian', 'Islam']",normal,235,['None'],normal,209,"['Christian', 'Islam']",normal,[],normal,['Islam']
10751,1095912691535933441_twitter,"['these', 'hoes', 'really', 'be', 'talking', 'bout', 'another', 'hoe', 'and', 'still', 'be', 'in', 'that', 'hoe', 'face']",217,['Women'],offensive,202,"['Women', 'Other']",offensive,233,['Women'],offensive,"[[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]]",offensive,['Women']
10754,1096280816596860928_twitter,"['who', 'do', 'bitches', 'in', 'horror', 'movies', 'always', 'have', 'huge', 'houses', 'like', 'cmon', 'we', 'know', 'you', 'can', '’', 't', 'cover', 'those', 'property', 'taxes']",222,['Women'],offensive,209,['Other'],normal,235,['Women'],offensive,"[[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Women']
10766,1096883267175940096_twitter,"['when', 'i', 'get', 'married', 'i', 'want', 'my', 'wedding', 'to', 'be', 'like', 'the', 'one', 'off', 'crazy', 'rich', 'asians']",205,['Asian'],normal,213,['None'],normal,209,['Asian'],normal,[],normal,['Asian']
10775,1097012359481053185_twitter,"['<user>', 'what', 'if', 'the', 'sugar', 'gramp', 'was', 'a', 'ss', 'soilder', 'who', 'killed', 'hundreds', 'of', 'jews', 'but', 'is', 'a', 'multi', 'billionaire', '🤔']",212,['Jewish'],hatespeech,207,['Jewish'],normal,221,['Jewish'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]]",hatespeech,['Jewish']
10793,1097529240327778310_twitter,"['spss', 'is', 'a', 'fucking', 'joke']",209,['Other'],normal,235,['None'],offensive,203,['None'],offensive,"[[0, 0, 0, 1, 1], [1, 0, 0, 0, 0]]",offensive,
10807,1098170218055122944_twitter,"['<user>', 'i', 'wonder', 'how', 'the', 'newspapers', 'defined', 'obvious', 'racism', 'as', 'economic', 'anxiety', 'in', 'germany', 'as', 'the', 'nazis', 'rose', 'to', 'power', 'p']",247,['Other'],normal,199,['None'],normal,235,['None'],normal,[],normal,
10817,1098480747571277824_twitter,"['<user>', 'she', 'looks', 'retarded']",211,['None'],offensive,199,['None'],offensive,245,['Women'],offensive,"[[0, 0, 0, 1], [0, 0, 0, 1]]",offensive,
10858,1100370306147901440_twitter,"['let', 'cut', 'the', 'bs', 'and', 'call', 'it', 'like', 'it', 'is', 'htpps', '://', 'theamericanguard', 'org', '<number>', '<number>', '<number>', 'the', 'democrat', 'partys', 'black', 'holocaust']",222,['None'],normal,209,['None'],normal,212,['Jewish'],offensive,[],normal,
10859,1100389613074558976_twitter,"['<user>', 'not', 'low', 'class', 'they', 'enjoy', 'to', 'get', 'fucked', 'by', 'muslims']",205,['Islam'],offensive,213,['Islam'],hatespeech,209,['Islam'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]]",hatespeech,['Islam']
10863,11012135_gab,"['all', 'you', 'so', 'called', 'jewish', 'people', 'and', 'asians', 'you', 'actually', 'white', 'supremes']",206,"['Asian', 'Jewish']",hatespeech,203,"['Asian', 'Caucasian', 'Jewish']",offensive,221,"['Asian', 'Jewish']",hatespeech,"[[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]]",hatespeech,"['Asian', 'Jewish']"
10864,1102795985951043584_twitter,"['rt', 'mindtendencies2', 'those', 'who', 'hate', 'you', 'for', 'being', 'real', 'usually', 'love', 'your', 'mask']",209,"['None', 'Other']",normal,203,['None'],normal,223,['None'],normal,[],normal,
10875,1103385226921762816_twitter,"['<user>', '<user>', 'well', 'she', '’', 'muslim', 'so', 'of', 'course', 'she', 'hates', 'the', 'jews', 'jew', 'hatred', 'is', 'one', 'of', 'the', 'defining', 'feature', 'of', 'islam']",206,"['Arab', 'Islam', 'Jewish']",hatespeech,199,"['Islam', 'Jewish']",hatespeech,203,"['Islam', 'Jewish']",hatespeech,"[[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]]",hatespeech,"['Islam', 'Jewish']"
10878,1103485105891434497_twitter,"['i', 'forgot', 'all', 'about', 'my', 'steak', 'in', 'the', 'damn', 'sink', '🤦', '🏼', '\u200d', '♀', '️', 'ion', 'even', 'wanna', 'cook', 'the', 'bitch', 'now']",214,['None'],normal,209,['Women'],offensive,227,['None'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]]",offensive,
10889,1103932550026735618_twitter,"['<user>', 'remember', 'when', 'her', 'dad', 'hung', 'out', 'with', 'a', 'ukrainian', 'neo', 'nazi', 'or', 'when', 'he', 'called', 'his', 'captors', 'gooks']",216,['Asian'],offensive,209,['Other'],normal,203,['Other'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]]",offensive,
